8441;6221;9961;7460;6624;138;291;5672;8613;9514;2750;704;4004;9421;2326;1735;2806;2723;7269;4511;350;7631;8344;8375;4758;3585;5727;7714;7902;6022;9650;6643;6457;3188;3461;6620;1743;9699;2003;1564
5808;2300;3958;3977;6483;2944;4085;8647;5973;3156;211;7521;5964;1496;219;531;7204;2835;6332;2348;3039;4191;7505;4275;4476;6873;5901;3882;9023;8827;100;2309;6756;4231;5957;683;4858;9641;5802;2549
6217;7260;8114;8863;8580;6296;2666;5674;8225;2785;719;2367;6156;6728;5826;96;5413;2959;8513;5865;5251;8775;7226;7601;1667;7000;8733;9534;4015;7942;3457;5199;4343;7453;5104;7469;9431;1193;9391;1164
5533;7114;3668;3986;2331;9161;7811;5794;5706;5244;6883;4582;8615;1645;7728;9882;5534;4196;4960;802;8769;3790;6581;6414;4235;114;5859;771;237;2821;4030;3506;5249;3807;7906;9651;9724;7727;7504;9073
2561;451;1470;6787;5005;6759;2239;257;3504;9243;8642;8787;8293;149;967;3103;6349;6644;2373;301;5758;7910;982;506;3508;9338;9000;6757;251;5117;8745;8928;3679;5550;622;5815;6815;9537;4756;6899
8735;5842;6255;6786;3039;9004;3868;795;3694;7032;3227;9785;8844;8416;8738;5930;579;5366;2746;8871;2755;8735;6626;3434;9499;7567;6095;5931;4236;2876;2223;5957;2756;906;389;4565;4159;5863;1705;7680
321;5921;5356;5740;7980;9145;5711;6664;7470;7921;5065;9454;8681;1445;1450;27;7930;5900;1070;9176;9060;1026;6607;4967;8332;2;5894;8332;5436;6760;272;1136;2308;1168;8317;569;7340;7884;8568;2369
5041;9093;4394;8076;252;4825;5180;8285;1590;7133;670;4713;976;5966;9479;8757;4821;5292;8518;3205;7701;7754;7443;6765;1247;4912;1055;8154;9328;8025;3058;7643;5615;1222;6579;9144;1140;4918;398;5218
7542;2353;4981;672;6372;6281;9097;7856;6039;5969;6053;8182;5759;6936;8374;9926;230;7140;1171;1958;9635;3690;7340;6675;7091;3590;2268;3119;9640;484;1762;3042;9528;6959;4562;8493;9627;8541;9984;9404
620;1198;1975;3615;7817;8925;3209;9767;2335;1745;6692;5613;4785;7365;7820;405;9554;1607;6802;234;4348;3754;9954;9470;2710;2984;8472;9777;6919;1176;5007;559;4879;5557;1590;1178;7399;1874;7285;5760
